"Survey","RowID","AOU","X","Y","SurveyID","Date","Count","Occ","SurvArea"
"MWS",1,"ABDU",-76.1127455146021,38.4320111399064,"MD_Blackwater",2016-01-07,1106,1,159.343903584564
"MWS",2,"ABDU",-76.1127455146021,38.4320111399064,"MD_Blackwater",2017-01-09,340,1,159.343903584564
"MWS",3,"ABDU",-76.1127455146021,38.4320111399064,"MD_Blackwater",2018-01-22,395,1,159.343903584564
"MWS",4,"ABDU",-76.1127455146021,38.4320111399064,"MD_Blackwater",2019-01-15,679,1,159.343903584564
"MWS",5,"ABDU",-76.0578356113,38.1746411090024,"MD_Bloodsworth",2016-01-07,465,1,137.101041666194
"MWS",6,"ABDU",-76.0578356113,38.1746411090024,"MD_Bloodsworth",2017-01-09,1745,1,137.101041666194
"MWS",7,"ABDU",-76.0578356113,38.1746411090024,"MD_Bloodsworth",2018-01-05,588,1,137.101041666194
"MWS",8,"ABDU",-76.0578356113,38.1746411090024,"MD_Bloodsworth",2019-01-15,686,1,137.101041666194
"MWS",9,"ABDU",-76.5896103519763,39.2660516507814,"MD_BushToPatapsco",2016-01-03,45,1,199.542988271883
"MWS",10,"ABDU",-76.5896103519763,39.2660516507814,"MD_BushToPatapsco",2017-01-05,933,1,199.542988271883
"MWS",11,"ABDU",-76.5896103519763,39.2660516507814,"MD_BushToPatapsco",2018-01-03,110,1,199.542988271883
"MWS",12,"ABDU",-76.5896103519763,39.2660516507814,"MD_BushToPatapsco",2019-01-02,766,1,199.542988271883
"MWS",13,"ABDU",-76.5239369359543,38.5357402071382,"MD_ChesBeachToCovePoint",2016-01-03,2,1,40.8462260354502
"MWS",14,"ABDU",-76.5239369359543,38.5357402071382,"MD_ChesBeachToCovePoint",2017-01-06,0,0,40.8462260354502
"MWS",15,"ABDU",-76.5239369359543,38.5357402071382,"MD_ChesBeachToCovePoint",2018-01-03,54,1,40.8462260354502
"MWS",16,"ABDU",-76.5239369359543,38.5357402071382,"MD_ChesBeachToCovePoint",2019-01-02,14,1,40.8462260354502
"MWS",17,"ABDU",-76.1772822409089,39.1136301800168,"MD_ChesterRiver",2016-01-03,1090,1,283.904928598229
